asset.frozen	Frozen asset
corp.offshore	Offshore
corp.shell	Shell company
crime	Crime
crime.boss	Criminal leadership
crime.cyber	Cybercrime
crime.fin	Financial crime
crime.fraud	Fraud
crime.terror	Terrorism
crime.theft	Theft
crime.traffick	Trafficking
crime.traffick.drug	Drug trafficking
crime.traffick.human	Human trafficking
crime.war	War crimes
debarment	Debarred entity
fin	Financial services
fin.adivsor	Financial advisor
fin.bank	Bank
fin.fund	Fund
gov	Government
gov.igo	Intergovernmental organization
gov.muni	Municipal government
gov.national	National government
gov.soe	State-owned enterprise
gov.state	State government
mil	Military
poi	Person of interest
pol.party	Political party
pol.union	Union
rel	Religion
role.acct	Accountant
role.act	Activist
role.civil	Civil servant
role.diplo	Diplomat
role.journo	Journalist
role.judge	Judge
role.lawyer	Lawyer
role.pep	Politician
role.rca	Associate
role.spy	Spy
sanction	Sanctioned entity
